mois,famille,type_absence,type_contrat,catégorie,tranche_age,temps_du_total,temps_absence_total,taux_absence
2024-09,Aucune,Aucune,cdd,Administratif,30-40 ans,959.5,91.0,9.48410630536738
2024-09,Aucune,Aucune,cdd,Administratif,40-50 ans,907.5,99.0,10.909090909090908
2024-09,Aucune,Aucune,cdd,Administratif,50-60 ans,232.5,31.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif,60 ans et plus,240.0,32.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif,Moins de 20 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif/médical,20-30 ans,255.0,34.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif/médical,30-40 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif/médical,40-50 ans,232.5,31.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Administratif/médical,60 ans et plus,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Biomédical,20-30 ans,272.0,17.0,6.25
2024-09,Aucune,Aucune,cdd,Bloc opératoire,20-30 ans,1034.0,102.0,9.864603481624759
2024-09,Aucune,Aucune,cdd,Bloc opératoire,30-40 ans,112.5,15.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Bloc opératoire,40-50 ans,894.5,82.0,9.167132476243712
2024-09,Aucune,Aucune,cdd,Bloc opératoire,50-60 ans,655.0,75.0,11.450381679389313
2024-09,Aucune,Aucune,cdd,Bloc opératoire,60 ans et plus,263.5,0.0,0.0
2024-09,Aucune,Aucune,cdd,Direction,40-50 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdd,Hygiène/Hôtellerie,40-50 ans,60.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Hygiène/Hôtellerie,50-60 ans,120.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Imagerie,20-30 ans,407.18,34.0,8.35011542806621
2024-09,Aucune,Aucune,cdd,Imagerie,30-40 ans,208.0,8.0,3.8461538461538463
2024-09,Aucune,Aucune,cdd,Imagerie,40-50 ans,100.8,8.0,7.936507936507936
2024-09,Aucune,Aucune,cdd,Imagerie,50-60 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Imagerie,60 ans et plus,105.6,1.0,0.946969696969697
2024-09,Aucune,Aucune,cdd,Imagerie,Moins de 20 ans,64.0,8.0,12.5
2024-09,Aucune,Aucune,cdd,Information médicale,20-30 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Information médicale,40-50 ans,343.5,40.0,11.644832605531295
2024-09,Aucune,Aucune,cdd,Information médicale,60 ans et plus,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Juridique,30-40 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdd,Laboratoire,20-30 ans,323.5,41.0,12.673879443585781
2024-09,Aucune,Aucune,cdd,Laboratoire,30-40 ans,369.0,47.0,12.737127371273713
2024-09,Aucune,Aucune,cdd,Laboratoire,40-50 ans,328.5,31.0,9.43683409436834
2024-09,Aucune,Aucune,cdd,Laboratoire,50-60 ans,187.5,24.0,12.8
2024-09,Aucune,Aucune,cdd,Logistique,20-30 ans,240.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Logistique,30-40 ans,187.5,17.0,9.066666666666666
2024-09,Aucune,Aucune,cdd,Logistique,Moins de 20 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Médical,20-30 ans,576.0,46.0,7.986111111111111
2024-09,Aucune,Aucune,cdd,Médical,30-40 ans,643.8,68.0,10.56228642435539
2024-09,Aucune,Aucune,cdd,Médical,40-50 ans,894.6,81.0,9.054325955734406
2024-09,Aucune,Aucune,cdd,Médical,50-60 ans,1120.0,119.0,10.625
2024-09,Aucune,Aucune,cdd,Médical,60 ans et plus,255.0,34.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Pharmacie,20-30 ans,360.0,31.0,8.61111111111111
2024-09,Aucune,Aucune,cdd,Pharmacie,30-40 ans,200.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Pharmacie,40-50 ans,105.0,14.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Pharmacie,Moins de 20 ans,9.6,0.0,0.0
2024-09,Aucune,Aucune,cdd,Psycho-social,40-50 ans,187.5,17.0,9.066666666666666
2024-09,Aucune,Aucune,cdd,Pédiatrie/néonat,20-30 ans,9.6,1.0,10.416666666666668
2024-09,Aucune,Aucune,cdd,Pédiatrie/néonat,Moins de 20 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Qualité,20-30 ans,216.0,27.0,12.5
2024-09,Aucune,Aucune,cdd,Qualité,Moins de 20 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdd,Recherche,30-40 ans,272.0,34.0,12.5
2024-09,Aucune,Aucune,cdd,Rééducation,20-30 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Rééducation,50-60 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Rééducation,60 ans et plus,232.5,31.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Rééducation,Moins de 20 ans,105.0,14.0,13.333333333333334
2024-09,Aucune,Aucune,cdd,Soins infirmiers,20-30 ans,2770.5,266.0,9.601155026168563
2024-09,Aucune,Aucune,cdd,Soins infirmiers,30-40 ans,1382.68,110.0,7.955564555790204
2024-09,Aucune,Aucune,cdd,Soins infirmiers,40-50 ans,1127.5,89.0,7.893569844789357
2024-09,Aucune,Aucune,cdd,Soins infirmiers,50-60 ans,1527.5,120.0,7.855973813420622
2024-09,Aucune,Aucune,cdd,Soins infirmiers,60 ans et plus,505.0,38.0,7.524752475247524
2024-09,Aucune,Aucune,cdd,Soins infirmiers,Moins de 20 ans,439.5,25.0,5.688282138794084
2024-09,Aucune,Aucune,cdd,Sécurité,20-30 ans,136.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Sécurité,60 ans et plus,100.0,0.0,0.0
2024-09,Aucune,Aucune,cdd,Techniques/bâtiment,20-30 ans,141.9,18.0,12.684989429175475
2024-09,Aucune,Aucune,cdd,Techniques/bâtiment,40-50 ans,255.0,34.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Administratif,20-30 ans,3287.0,311.0,9.461515059324613
2024-09,Aucune,Aucune,cdi,Administratif,30-40 ans,656.5,87.0,13.252094440213252
2024-09,Aucune,Aucune,cdi,Administratif,40-50 ans,382.5,51.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Administratif,Moins de 20 ans,331.6,42.0,12.665862484921592
2024-09,Aucune,Aucune,cdi,Administratif,Non défini,8643.5,878.0,10.157922138022792
2024-09,Aucune,Aucune,cdi,Administratif/médical,20-30 ans,382.5,51.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Administratif/médical,30-40 ans,112.5,15.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Administratif/médical,Moins de 20 ans,255.0,17.0,6.666666666666667
2024-09,Aucune,Aucune,cdi,Administratif/médical,Non défini,1755.0,229.0,13.048433048433047
2024-09,Aucune,Aucune,cdi,Biomédical,20-30 ans,839.5,67.0,7.980941036331149
2024-09,Aucune,Aucune,cdi,Biomédical,30-40 ans,19.2,2.0,10.416666666666668
2024-09,Aucune,Aucune,cdi,Biomédical,Non défini,1320.0,108.0,8.181818181818182
2024-09,Aucune,Aucune,cdi,Bloc opératoire,20-30 ans,2133.1,194.0,9.094744737705687
2024-09,Aucune,Aucune,cdi,Bloc opératoire,30-40 ans,449.6,63.0,14.012455516014233
2024-09,Aucune,Aucune,cdi,Bloc opératoire,40-50 ans,112.5,15.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Bloc opératoire,Moins de 20 ans,866.5,96.0,11.079053664166185
2024-09,Aucune,Aucune,cdi,Bloc opératoire,Non défini,9713.6,900.0,9.265359907758194
2024-09,Aucune,Aucune,cdi,Direction,Non défini,640.0,65.0,10.15625
2024-09,Aucune,Aucune,cdi,Hygiène/Hôtellerie,20-30 ans,424.5,33.0,7.773851590106007
2024-09,Aucune,Aucune,cdi,Hygiène/Hôtellerie,30-40 ans,120.0,12.0,10.0
2024-09,Aucune,Aucune,cdi,Hygiène/Hôtellerie,Moins de 20 ans,120.0,0.0,0.0
2024-09,Aucune,Aucune,cdi,Hygiène/Hôtellerie,Non défini,1400.0,92.0,6.571428571428571
2024-09,Aucune,Aucune,cdi,Imagerie,20-30 ans,806.5,84.0,10.415375077495352
2024-09,Aucune,Aucune,cdi,Imagerie,30-40 ans,464.5,42.0,9.041980624327234
2024-09,Aucune,Aucune,cdi,Imagerie,40-50 ans,165.9,4.0,2.4110910186859553
2024-09,Aucune,Aucune,cdi,Imagerie,Moins de 20 ans,160.0,8.0,5.0
2024-09,Aucune,Aucune,cdi,Imagerie,Non défini,2535.0,194.0,7.652859960552267
2024-09,Aucune,Aucune,cdi,Information médicale,20-30 ans,363.5,59.0,16.23108665749656
2024-09,Aucune,Aucune,cdi,Information médicale,30-40 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdi,Information médicale,Non défini,1772.0,238.0,13.43115124153499
2024-09,Aucune,Aucune,cdi,Juridique,20-30 ans,96.0,8.0,8.333333333333332
2024-09,Aucune,Aucune,cdi,Juridique,Non défini,272.0,34.0,12.5
2024-09,Aucune,Aucune,cdi,Laboratoire,20-30 ans,1403.0,178.0,12.687099073414112
2024-09,Aucune,Aucune,cdi,Laboratoire,30-40 ans,360.0,0.0,0.0
2024-09,Aucune,Aucune,cdi,Laboratoire,40-50 ans,223.5,17.0,7.606263982102908
2024-09,Aucune,Aucune,cdi,Laboratoire,Moins de 20 ans,114.6,0.0,0.0
2024-09,Aucune,Aucune,cdi,Laboratoire,Non défini,4206.1,316.0,7.512897933953068
2024-09,Aucune,Aucune,cdi,Logistique,20-30 ans,936.5,118.0,12.600106780565937
2024-09,Aucune,Aucune,cdi,Logistique,Moins de 20 ans,105.0,14.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Logistique,Non défini,2126.0,248.0,11.665098777046095
2024-09,Aucune,Aucune,cdi,Maïeutique,20-30 ans,9.6,0.0,0.0
2024-09,Aucune,Aucune,cdi,Maïeutique,Non défini,864.0,72.0,8.333333333333332
2024-09,Aucune,Aucune,cdi,Médical,20-30 ans,3914.78,412.0,10.524218474601382
2024-09,Aucune,Aucune,cdi,Médical,30-40 ans,1628.4,206.0,12.650454433800048
2024-09,Aucune,Aucune,cdi,Médical,40-50 ans,255.0,34.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Médical,Moins de 20 ans,316.0,31.0,9.81012658227848
2024-09,Aucune,Aucune,cdi,Médical,Non défini,13685.44,1418.0,10.361376762457034
2024-09,Aucune,Aucune,cdi,Pharmacie,20-30 ans,634.0,66.0,10.410094637223976
2024-09,Aucune,Aucune,cdi,Pharmacie,Moins de 20 ans,645.18,85.0,13.174617936079855
2024-09,Aucune,Aucune,cdi,Pharmacie,Non défini,4451.5,472.0,10.603167471638773
2024-09,Aucune,Aucune,cdi,Psycho-social,20-30 ans,127.5,17.0,13.333333333333334
2024-09,Aucune,Aucune,cdi,Psycho-social,Non défini,862.5,90.0,10.434782608695652
2024-09,Aucune,Aucune,cdi,Pédiatrie/néonat,20-30 ans,223.5,17.0,7.606263982102908
2024-09,Aucune,Aucune,cdi,Pédiatrie/néonat,30-40 ans,96.0,8.0,8.333333333333332
2024-09,Aucune,Aucune,cdi,Pédiatrie/néonat,Non défini,288.0,8.0,2.7777777777777777
2024-09,Aucune,Aucune,cdi,Qualité,20-30 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdi,Qualité,Moins de 20 ans,136.0,17.0,12.5
2024-09,Aucune,Aucune,cdi,Qualité,Non défini,832.0,73.0,8.774038461538462
2024-09,Aucune,Aucune,cdi,Recherche,20-30 ans,263.5,17.0,6.451612903225806
2024-09,Aucune,Aucune,cdi,Recherche,30-40 ans,136.0,0.0,0.0
2024-09,Aucune,Aucune,cdi,Recherche,Moins de 20 ans,192.0,8.0,4.166666666666666
2024-09,Aucune,Aucune,cdi,Recherche,Non défini,1288.0,113.0,8.773291925465838
2024-09,Aucune,Aucune,cdi,Rééducation,20-30 ans,823.0,90.0,10.935601458080194
2024-09,Aucune,Aucune,cdi,Rééducation,Non défini,2280.0,220.0,9.649122807017543
2024-09,Aucune,Aucune,cdi,Soins infirmiers,20-30 ans,4990.0,448.0,8.977955911823647
2024-09,Aucune,Aucune,cdi,Soins infirmiers,30-40 ans,2209.6,178.0,8.055756698044895
2024-09,Aucune,Aucune,cdi,Soins infirmiers,40-50 ans,728.0,46.0,6.318681318681318
2024-09,Aucune,Aucune,cdi,Soins infirmiers,Moins de 20 ans,1208.5,97.0,8.02647910633016
2024-09,Aucune,Aucune,cdi,Soins infirmiers,Non défini,25132.92,1994.0,7.933817479226449
2024-09,Aucune,Aucune,cdi,Sécurité,20-30 ans,491.0,34.0,6.924643584521386
2024-09,Aucune,Aucune,cdi,Sécurité,Non défini,648.0,28.0,4.320987654320987
2024-09,Aucune,Aucune,cdi,Techniques/bâtiment,20-30 ans,376.6,49.0,13.011152416356877
2024-09,Aucune,Aucune,cdi,Techniques/bâtiment,Moins de 20 ans,137.1,17.0,12.39970824215901
2024-09,Aucune,Aucune,cdi,Techniques/bâtiment,Non défini,949.98,119.0,12.526579506936988
2024-09,Autres,Formation,cdi,Soins infirmiers,Non défini,765.0,102.0,13.333333333333334
2024-09,Maladie,Longue maladie,cdi,Médical,30-40 ans,1657.5,221.0,13.333333333333334
2024-09,Maladie,Longue maladie,cdi,Médical,Non défini,1657.5,221.0,13.333333333333334
2024-09,Maladie,Maladie,cdd,Logistique,30-40 ans,5610.0,748.0,13.333333333333334
2024-09,Maladie,Maladie,cdd,Médical,20-30 ans,7344.0,918.0,12.5
2024-09,Maladie,Maladie,cdd,Médical,30-40 ans,7344.0,918.0,12.5
2024-09,Maladie,Maladie,cdd,Soins infirmiers,20-30 ans,4608.0,384.0,8.333333333333332
2024-09,Maladie,Maladie,cdd,Soins infirmiers,60 ans et plus,12240.0,1632.0,13.333333333333334
2024-09,Maladie,Maladie,cdd,Techniques/bâtiment,40-50 ans,2641.92,344.0,13.020833333333334
2024-09,Maladie,Maladie,cdi,Administratif,Non défini,8920.0,1136.0,12.73542600896861
2024-09,Maladie,Maladie,cdi,Administratif/médical,20-30 ans,45696.0,5712.0,12.5
2024-09,Maladie,Maladie,cdi,Administratif/médical,Non défini,14280.0,1904.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Bloc opératoire,20-30 ans,36382.5,4275.0,11.750154607297464
2024-09,Maladie,Maladie,cdi,Bloc opératoire,30-40 ans,14904.0,1242.0,8.333333333333332
2024-09,Maladie,Maladie,cdi,Bloc opératoire,Non défini,123798.5,14677.0,11.855555600431346
2024-09,Maladie,Maladie,cdi,Information médicale,Non défini,8032.5,1071.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Laboratoire,30-40 ans,87210.0,11628.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Logistique,Moins de 20 ans,5610.0,748.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Logistique,Non défini,2688.0,0.0,0.0
2024-09,Maladie,Maladie,cdi,Médical,20-30 ans,10404.0,1326.0,12.745098039215685
2024-09,Maladie,Maladie,cdi,Médical,30-40 ans,12316.5,1581.0,12.836438923395447
2024-09,Maladie,Maladie,cdi,Médical,Non défini,25989.0,3404.0,13.097849089999617
2024-09,Maladie,Maladie,cdi,Pharmacie,Non défini,5446.5,855.0,15.69815477829799
2024-09,Maladie,Maladie,cdi,Psycho-social,Moins de 20 ans,2641.92,344.0,13.020833333333334
2024-09,Maladie,Maladie,cdi,Psycho-social,Non défini,87210.0,11628.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Pédiatrie/néonat,Non défini,2880.0,240.0,8.333333333333332
2024-09,Maladie,Maladie,cdi,Rééducation,Non défini,8400.0,1120.0,13.333333333333334
2024-09,Maladie,Maladie,cdi,Soins infirmiers,20-30 ans,24360.0,3152.0,12.939244663382594
2024-09,Maladie,Maladie,cdi,Soins infirmiers,Non défini,108333.0,11865.0,10.952341391819667
2024-09,Maladie,Maladie,cdi,Techniques/bâtiment,Non défini,2688.0,336.0,12.5
2024-09,Événements familiaux,Décès,cdd,Soins infirmiers,50-60 ans,384.0,0.0,0.0
2024-09,Événements familiaux,Décès,cdi,Administratif/médical,Non défini,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Décès,cdi,Bloc opératoire,Non défini,816.0,102.0,12.5
2024-09,Événements familiaux,Décès,cdi,Médical,30-40 ans,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Décès,cdi,Médical,Non défini,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Déménagement,cdi,Administratif/médical,Non défini,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Déménagement,cdi,Médical,Non défini,1050.0,140.0,13.333333333333334
2024-09,Événements familiaux,Enfant malade,cdd,Soins infirmiers,20-30 ans,1536.0,128.0,8.333333333333332
2024-09,Événements familiaux,Enfant malade,cdd,Soins infirmiers,60 ans et plus,6120.0,816.0,13.333333333333334
2024-09,Événements familiaux,Enfant malade,cdi,Bloc opératoire,30-40 ans,4968.0,414.0,8.333333333333332
2024-09,Événements familiaux,Enfant malade,cdi,Bloc opératoire,Non défini,4968.0,414.0,8.333333333333332
2024-09,Événements familiaux,Enfant malade,cdi,Médical,30-40 ans,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Enfant malade,cdi,Médical,Non défini,3315.0,442.0,13.333333333333334
2024-09,Événements familiaux,Enfant malade,cdi,Pharmacie,Non défini,1560.0,520.0,33.33333333333333
2024-09,Événements familiaux,Enfant malade,cdi,Rééducation,Non défini,3360.0,448.0,13.333333333333334
2024-09,Événements familiaux,Enfant malade,cdi,Soins infirmiers,Non défini,5304.0,544.0,10.256410256410255
2024-09,Événements familiaux,Mariage,cdi,Pharmacie,Non défini,544.0,68.0,12.5
2024-09,Événements familiaux,Mariage,cdi,Soins infirmiers,20-30 ans,22440.0,2992.0,13.333333333333334
2024-09,Événements familiaux,Mariage,cdi,Soins infirmiers,Non défini,11220.0,1496.0,13.333333333333334
2024-10,Absences non payées,Divers,cdi,Administratif/médical,Non défini,4590.0,612.0,13.333333333333334
2024-10,Accidentologie,Accident de travail,cdd,Médical,20-30 ans,2736.0,342.0,12.5
2024-10,Accidentologie,Accident de travail,cdd,Médical,30-40 ans,2736.0,342.0,12.5
2024-10,Accidentologie,Accident de travail,cdd,Techniques/bâtiment,40-50 ans,660.48,86.0,13.020833333333334
2024-10,Accidentologie,Accident de travail,cdi,Administratif/médical,20-30 ans,12768.0,1596.0,12.5
2024-10,Accidentologie,Accident de travail,cdi,Bloc opératoire,30-40 ans,2484.0,207.0,8.333333333333332
2024-10,Accidentologie,Accident de travail,cdi,Bloc opératoire,Non défini,15252.0,1803.0,11.821400472069236
2024-10,Accidentologie,Accident de travail,cdi,Information médicale,Non défini,1215.0,162.0,13.333333333333334
2024-10,Accidentologie,Accident de travail,cdi,Médical,20-30 ans,4356.0,558.0,12.8099173553719
2024-10,Accidentologie,Accident de travail,cdi,Médical,30-40 ans,4491.0,576.0,12.825651302605209
2024-10,Accidentologie,Accident de travail,cdi,Médical,Non défini,6636.0,862.0,12.989752863170583
2024-10,Accidentologie,Accident de travail,cdi,Psycho-social,Moins de 20 ans,660.48,86.0,13.020833333333334
2024-10,Accidentologie,Accident de travail,cdi,Rééducation,Non défini,1680.0,224.0,13.333333333333334
2024-10,Accidentologie,Accident de travail,cdi,Soins infirmiers,20-30 ans,1080.0,90.0,8.333333333333332
2024-10,Accidentologie,Accident de travail,cdi,Soins infirmiers,Non défini,540.0,45.0,8.333333333333332
2024-10,Accidentologie,Accident de travail,cdi,Techniques/bâtiment,Non défini,960.0,120.0,12.5
2024-10,Accidentologie,Maladie professionnelle,cdd,Soins infirmiers,20-30 ans,864.0,72.0,8.333333333333332
2024-10,Aucune,Aucune,apprenti,Administratif,20-30 ans,67.5,0.0,0.0
2024-10,Aucune,Aucune,apprenti,Bloc opératoire,20-30 ans,390.0,33.0,8.461538461538462
2024-10,Aucune,Aucune,apprenti,Hygiène/Hôtellerie,20-30 ans,140.0,14.0,10.0
2024-10,Aucune,Aucune,apprenti,Laboratoire,20-30 ans,72.0,0.0,0.0
2024-10,Aucune,Aucune,apprenti,Logistique,20-30 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,apprenti,Médical,20-30 ans,159.2,16.0,10.050251256281408
2024-10,Aucune,Aucune,apprenti,Soins infirmiers,20-30 ans,500.0,37.0,7.3999999999999995
2024-10,Aucune,Aucune,apprenti,Sécurité,20-30 ans,100.0,0.0,0.0
2024-10,Aucune,Aucune,cdd,Administratif,20-30 ans,742.0,83.0,11.185983827493262
2024-10,Aucune,Aucune,cdd,Administratif,30-40 ans,1025.0,104.0,10.146341463414634
2024-10,Aucune,Aucune,cdd,Administratif,40-50 ans,952.5,104.0,10.918635170603675
2024-10,Aucune,Aucune,cdd,Administratif,50-60 ans,240.0,32.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Administratif,60 ans et plus,255.0,40.0,15.686274509803921
2024-10,Aucune,Aucune,cdd,Administratif,Moins de 20 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Administratif/médical,20-30 ans,270.0,36.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Administratif/médical,30-40 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Administratif/médical,40-50 ans,240.0,32.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Administratif/médical,60 ans et plus,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Biomédical,20-30 ans,304.0,19.0,6.25
2024-10,Aucune,Aucune,cdd,Bloc opératoire,20-30 ans,1105.0,108.0,9.773755656108598
2024-10,Aucune,Aucune,cdd,Bloc opératoire,30-40 ans,120.0,22.0,18.333333333333332
2024-10,Aucune,Aucune,cdd,Bloc opératoire,40-50 ans,981.0,89.0,9.072375127421
2024-10,Aucune,Aucune,cdd,Bloc opératoire,50-60 ans,698.0,82.0,11.74785100286533
2024-10,Aucune,Aucune,cdd,Bloc opératoire,60 ans et plus,287.0,0.0,0.0
2024-10,Aucune,Aucune,cdd,Direction,40-50 ans,152.0,19.0,12.5
2024-10,Aucune,Aucune,cdd,Hygiène/Hôtellerie,40-50 ans,60.0,0.0,0.0
2024-10,Aucune,Aucune,cdd,Hygiène/Hôtellerie,50-60 ans,140.0,0.0,0.0
2024-10,Aucune,Aucune,cdd,Imagerie,20-30 ans,446.68,37.0,8.283334825826094
2024-10,Aucune,Aucune,cdd,Imagerie,30-40 ans,228.0,9.0,3.9473684210526314
2024-10,Aucune,Aucune,cdd,Imagerie,40-50 ans,112.8,9.0,7.9787234042553195
2024-10,Aucune,Aucune,cdd,Imagerie,50-60 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Imagerie,60 ans et plus,117.6,1.0,0.8503401360544218
2024-10,Aucune,Aucune,cdd,Imagerie,Moins de 20 ans,72.0,9.0,12.5
2024-10,Aucune,Aucune,cdd,Information médicale,20-30 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Information médicale,40-50 ans,379.0,44.0,11.609498680738787
2024-10,Aucune,Aucune,cdd,Information médicale,60 ans et plus,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Juridique,30-40 ans,152.0,19.0,12.5
2024-10,Aucune,Aucune,cdd,Laboratoire,20-30 ans,347.0,46.0,13.256484149855908
2024-10,Aucune,Aucune,cdd,Laboratoire,30-40 ans,401.0,51.0,12.718204488778055
2024-10,Aucune,Aucune,cdd,Laboratoire,40-50 ans,348.0,32.0,9.195402298850574
2024-10,Aucune,Aucune,cdd,Laboratoire,50-60 ans,195.0,27.0,13.846153846153847
2024-10,Aucune,Aucune,cdd,Logistique,20-30 ans,280.0,0.0,0.0
2024-10,Aucune,Aucune,cdd,Logistique,30-40 ans,195.0,18.0,9.230769230769232
2024-10,Aucune,Aucune,cdd,Logistique,Moins de 20 ans,135.0,18.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Médical,20-30 ans,623.0,50.0,8.025682182985554
2024-10,Aucune,Aucune,cdd,Médical,30-40 ans,673.8,71.0,10.537251409913921
2024-10,Aucune,Aucune,cdd,Médical,40-50 ans,959.6,87.0,9.066277615673197
2024-10,Aucune,Aucune,cdd,Médical,50-60 ans,1180.0,126.0,10.677966101694915
2024-10,Aucune,Aucune,cdd,Médical,60 ans et plus,270.0,36.0,13.333333333333334
2024-10,Aucune,Aucune,cdd,Pharmacie,20-30 ans,375.0,32.0,8.533333333333333
2024-10,Aucune,Aucune,cdd,Pharmacie,30-40 ans,200.0,0.0,0.0
