id,debut,fin,type,id_pers,id_emploi,part_temps,id_temps,plage_type,decompte_temps,exempt_nuit,exempt_astreinte,exempt_bloc
40,2000-04-13,2002-01-13,cdi,28,297,1.0,414,forfait,jours,0,1,1
41,2001-09-10,2002-11-10,cdi,29,224,1.0,322,nuit,heures,0,0,1
42,2016-05-11,2017-02-11,cdi,30,210,0.8,303,nuit,heures,0,0,1
43,2017-03-13,2018-08-13,cdi,30,210,0.8,303,nuit,heures,0,1,1
44,2018-09-19,2019-06-19,cdi,30,48,1.0,98,forfait,jours,0,1,1
45,2002-12-12,2004-05-12,cdd,31,285,0.9,401,nuit,heures,0,1,1
46,2000-04-18,2001-02-18,cdi,32,51,0.8,101,nuit,heures,0,1,1
47,2001-01-09,2001-02-09,cdd,33,286,1.0,402,jour,heures,0,1,0
48,2013-03-23,2014-02-23,cdd,34,87,0.8,147,forfait,jours,0,1,1
49,2002-09-02,2004-01-02,cdi,35,282,0.8,396,nuit,heures,0,1,1
50,2004-02-23,2004-05-23,cdd,35,65,1.0,115,nuit,heures,0,0,1
51,2001-01-20,2002-08-20,cdi,36,24,1.0,55,jour,heures,0,1,1
52,2002-09-13,,cdi,36,24,1.0,55,jour,heures,1,1,1
53,2005-08-26,2007-06-26,cdi,37,238,0.5,337,nuit,heures,0,0,1
54,2007-06-30,2008-12-30,cdi,37,238,1.0,336,jour,heures,0,1,1
55,2009-02-12,2010-03-12,cdi,37,238,1.0,338,astreinte,astreinte,0,0,1
56,2011-06-18,2012-10-18,cdi,38,272,1.0,383,jour,heures,0,0,1
57,2012-12-03,2013-09-03,cdd,38,224,1.0,322,nuit,heures,0,0,1
58,2000-10-03,2002-10-03,apprenti,39,224,1.0,322,nuit,heures,1,0,1
59,2019-03-20,2019-10-20,cdd,40,48,1.0,98,forfait,jours,0,1,1
60,2002-12-09,2003-09-09,cdi,41,47,0.8,97,forfait,jours,0,1,1
61,2007-12-25,2025-11-01,cdd,42,165,0.8,233,nuit,heures,1,0,1
62,2000-08-31,,cdi,43,51,0.8,101,nuit,heures,0,0,1
63,2000-06-08,2001-04-08,cdd,44,214,1.0,307,forfait,jours,1,0,1
64,2000-05-27,,cdi,45,98,1.0,158,jour,heures,1,1,1
65,2002-10-10,2003-07-10,cdi,46,42,1.0,86,forfait,jours,1,1,0
66,2003-08-15,2005-01-15,cdi,46,42,0.8,86,forfait,jours,0,1,1
67,2001-04-18,2001-09-18,cdd,47,220,0.8,316,nuit,heures,0,1,1
68,2001-06-15,,cdi,48,51,1.0,101,nuit,heures,0,0,1
69,2002-05-08,2003-09-08,cdi,49,21,1.0,50,jour,heures,0,1,1
70,2002-07-25,2003-02-25,cdi,50,131,1.0,191,jour,heures,1,1,1
71,2002-02-03,2002-03-03,cdd,51,214,1.0,307,forfait,jours,0,1,1
72,2011-11-05,,cdi,52,265,1.0,373,forfait,jours,0,1,1
73,2000-02-12,,cdi,53,262,0.8,366,nuit,heures,0,0,0
74,2001-09-12,2003-09-12,cdi,54,262,1.0,367,bloc,heures,0,1,0
75,2003-10-19,,cdi,54,44,1.0,88,jour,heures,0,1,0
76,2000-10-07,2001-11-07,cdd,55,57,1.0,107,jour,heures,0,0,1
77,2001-01-05,2001-12-05,cdd,56,286,1.0,402,jour,heures,1,0,1
78,2000-02-17,,cdi,57,57,1.0,107,jour,heures,1,1,0
79,2002-05-15,2003-10-15,cdi,58,51,1.0,101,nuit,heures,0,0,1
80,2001-06-28,,cdi,59,46,1.0,96,nuit,heures,0,1,1
81,2001-07-26,2003-05-26,cdi,60,24,1.0,55,jour,heures,0,0,1
82,2004-03-06,2005-12-06,cdi,61,27,1.0,60,astreinte,astreinte,0,0,1
83,2000-12-01,2002-03-01,cdi,62,43,0.8,87,nuit,heures,0,1,0
84,2002-04-25,2003-06-25,cdd,62,43,1.0,87,nuit,heures,0,0,1
85,2003-07-24,2004-05-24,cdd,62,299,0.5,416,nuit,heures,0,0,1
86,2006-11-01,2008-05-01,cdi,63,34,1.0,74,astreinte,astreinte,0,0,0
87,2013-04-19,,cdi,64,162,0.8,230,forfait,jours,0,1,1
88,2013-06-16,2013-09-16,cdd,65,100,1.0,160,jour,heures,1,0,1
89,2013-10-19,2014-05-19,cdi,65,100,0.8,160,jour,heures,1,0,1
90,2014-06-01,2015-05-01,cdi,65,100,0.9,160,jour,heures,0,0,1
91,2006-12-13,2007-06-13,cdi,66,145,1.0,205,jour,heures,0,1,1
92,2007-07-02,2026-01-01,cdd,66,145,1.0,205,jour,heures,1,1,1
93,2007-11-08,2008-08-08,cdi,67,152,1.0,214,forfait,jours,1,0,1
94,2008-12-17,2010-10-17,cdi,68,49,1.0,99,nuit,heures,0,0,1
95,2002-07-30,,cdi,69,298,0.8,415,jour,heures,0,1,1
96,2001-08-31,2003-03-31,cdi,70,9,0.5,24,astreinte,astreinte,1,0,1
97,2012-10-31,,cdi,71,210,1.0,303,nuit,heures,0,0,1
98,2001-01-18,,cdi,72,247,1.0,349,jour,heures,0,1,1
99,2001-09-27,2003-01-27,cdd,73,262,0.6,367,bloc,heures,0,0,0
100,2001-04-04,2001-08-04,cdd,74,262,0.6,366,nuit,heures,0,0,0
101,2000-03-21,2000-09-21,cdi,75,262,1.0,366,nuit,heures,0,0,0
102,2002-11-27,2004-03-27,cdi,76,210,1.0,302,jour,heures,0,1,1
103,2001-07-07,2002-11-07,cdi,77,47,1.0,97,forfait,jours,0,0,1
104,2002-04-16,2025-11-01,cdd,78,103,0.8,163,jour,heures,1,0,1
105,2001-04-05,2002-08-05,cdd,79,262,1.0,367,bloc,heures,0,1,0
106,2000-10-14,2002-07-14,cdi,80,268,1.0,376,jour,heures,1,1,1
107,2001-03-15,2026-03-01,cdd,81,256,1.0,359,jour,heures,0,0,0
108,2000-11-18,2001-01-18,cdd,82,299,1.0,416,nuit,heures,0,0,1
109,2001-02-09,,cdi,82,299,1.0,416,nuit,heures,1,1,1
110,2001-12-19,,cdi,83,210,0.9,303,nuit,heures,0,1,1
111,2001-03-04,2001-11-04,cdi,84,269,0.8,377,jour,heures,0,0,1
112,2001-12-31,2003-07-31,cdi,84,269,1.0,377,jour,heures,0,0,1
113,2002-02-20,,cdi,85,220,1.0,315,jour,heures,0,1,1
114,2002-02-08,2003-05-08,cdi,86,129,1.0,189,jour,heures,0,1,1
115,2000-06-04,,cdi,87,51,0.8,101,nuit,heures,0,1,1
116,2000-04-05,2001-02-05,cdi,88,2,1.0,3,nuit,heures,0,0,1
117,2001-11-08,2003-05-08,cdi,89,292,1.0,409,jour,heures,0,1,0
118,2013-10-07,2014-02-07,cdd,90,43,1.0,87,nuit,heures,0,1,1
119,2014-02-28,,cdi,90,238,1.0,336,jour,heures,0,1,1
120,2001-12-02,2002-11-02,cdi,91,45,0.8,93,nuit,heures,0,1,0
121,2002-01-01,2003-11-01,cdi,92,216,1.0,309,forfait,jours,1,0,0
122,2005-04-28,2006-01-28,cdi,93,6,1.0,15,astreinte,astreinte,0,0,1
123,2001-05-08,2003-05-08,cdi,94,256,1.0,360,nuit,heures,0,0,1
124,2014-12-14,2016-04-14,cdi,95,256,0.8,360,nuit,heures,0,1,1
125,2016-04-15,2017-12-15,cdi,95,256,1.0,359,jour,heures,1,0,1
126,2002-08-30,2003-12-30,cdi,96,260,1.0,364,nuit,heures,0,0,1
127,2004-02-02,2005-08-02,cdi,96,260,0.8,364,nuit,heures,0,0,1
128,2000-06-16,2001-03-16,cdi,97,227,0.8,325,nuit,heures,1,0,1
129,2001-05-08,2003-04-08,cdi,97,227,0.6,325,nuit,heures,0,1,1
130,2014-05-10,,cdi,98,214,1.0,307,forfait,jours,0,0,1
131,2002-05-11,,cdi,99,205,0.5,295,nuit,heures,0,0,1
132,2002-10-25,2003-08-25,cdd,100,37,1.0,79,jour,heures,0,1,1
133,2006-05-31,,cdi,101,238,1.0,336,jour,heures,0,1,1
134,2018-05-19,2019-10-19,cdi,102,241,0.8,341,forfait,jours,0,1,1
135,2019-10-27,2021-10-27,cdi,102,152,1.0,214,forfait,jours,1,0,0
136,2000-10-26,,cdi,103,261,1.0,365,nuit,heures,0,0,1
137,2000-12-21,2001-07-21,cdi,104,136,1.0,196,nuit,heures,0,0,1
138,2001-09-14,2002-05-14,cdi,104,136,1.0,196,nuit,heures,1,0,1
139,2002-06-12,2003-07-12,cdi,104,48,1.0,98,forfait,jours,0,1,1
140,2002-01-31,2003-01-31,cdi,105,136,1.0,196,nuit,heures,0,1,1
141,2003-02-20,2005-02-20,cdi,105,43,1.0,87,nuit,heures,0,1,1
142,2000-08-01,,cdi,106,220,0.8,316,nuit,heures,0,0,1
143,2000-06-01,2000-12-01,cdi,107,238,0.8,337,nuit,heures,0,0,1
144,2001-05-17,2002-07-17,cdi,108,98,1.0,158,jour,heures,0,1,1
145,2019-02-04,2019-09-04,cdd,109,205,0.5,294,jour,heures,0,1,1
146,2019-09-08,2020-08-08,cdd,109,224,1.0,322,nuit,heures,0,0,1
147,2009-09-10,2010-04-10,cdi,110,275,0.5,388,jour,heures,0,0,1
148,2010-05-19,2011-04-19,cdi,110,275,0.8,388,jour,heures,0,1,1
149,2011-05-12,,cdi,110,275,1.0,388,jour,heures,0,1,1
150,2000-05-08,2000-10-08,cdd,111,71,1.0,126,nuit,heures,0,0,1
151,2000-11-16,2001-10-16,cdd,111,202,0.8,287,jour,heures,0,0,1
152,2001-11-27,2003-05-27,cdi,111,202,0.8,287,jour,heures,0,0,1
153,2001-09-21,2002-08-21,cdi,112,217,1.0,310,jour,heures,0,0,1
154,2001-04-07,2002-05-07,cdi,113,43,1.0,87,nuit,heures,0,0,1
155,2001-08-22,2002-10-22,apprenti,114,41,0.8,85,forfait,jours,0,0,1
156,2002-11-04,2004-04-04,cdi,114,41,1.0,85,forfait,jours,0,1,1
157,2002-06-03,2004-04-03,cdi,115,247,1.0,349,jour,heures,1,0,1
158,2004-04-07,2005-07-07,cdi,115,247,1.0,350,nuit,heures,0,0,1
159,2005-08-26,,cdi,115,247,1.0,350,nuit,heures,0,1,1
160,2002-08-07,2003-09-07,cdi,116,25,1.0,56,jour,heures,1,1,1
161,2003-09-11,,cdi,116,25,1.0,56,jour,heures,0,0,1
162,2001-08-31,2002-02-28,cdi,117,127,0.8,187,jour,heures,1,1,1
163,2002-03-28,2003-02-28,cdi,117,262,1.0,366,nuit,heures,0,0,0
164,2003-04-29,2004-04-29,cdd,117,262,0.5,366,nuit,heures,0,0,1
165,2004-06-03,2005-05-03,cdd,117,105,1.0,165,jour,heures,0,0,0
166,2007-03-11,,cdi,118,196,1.0,277,jour,heures,0,0,1
167,2000-10-15,2001-08-15,cdi,119,23,1.0,54,jour,heures,0,0,1
168,2001-01-13,2002-11-13,cdi,120,121,1.0,181,jour,heures,0,1,1
169,2002-12-07,2004-03-07,cdd,120,121,1.0,181,jour,heures,0,1,1
170,2004-03-19,2005-03-19,cdi,120,121,0.6,181,jour,heures,1,0,1
171,2000-11-01,2002-02-01,cdd,121,51,1.0,101,nuit,heures,0,0,1
172,2002-10-22,2003-07-22,cdi,122,285,1.0,401,nuit,heures,0,0,1
173,2003-08-08,2025-12-01,cdd,122,285,1.0,400,jour,heures,0,1,1
174,2002-07-04,2003-10-04,cdd,123,43,0.5,87,nuit,heures,1,1,1
175,2001-03-05,2002-08-05,cdi,124,221,0.5,317,jour,heures,1,1,1
176,2002-08-12,2004-04-12,cdi,124,221,0.5,317,jour,heures,0,1,1
177,2020-01-23,2020-10-23,cdd,125,249,1.0,352,forfait,jours,0,1,1
178,2000-05-14,,cdi,126,75,1.0,132,jour,heures,0,1,1
179,2018-06-24,2019-10-24,cdd,127,299,0.6,416,nuit,heures,1,1,0
180,2001-02-03,,cdi,128,136,0.8,196,nuit,heures,0,1,1
181,2000-04-01,2001-05-01,cdi,129,262,1.0,366,nuit,heures,0,1,0
182,2001-05-27,,cdi,129,99,0.5,159,jour,heures,0,0,1
183,2002-07-11,2003-01-11,cdi,130,262,1.0,367,bloc,heures,0,0,0
184,2001-03-31,2002-07-31,cdi,131,42,0.8,86,forfait,jours,0,1,1
185,2002-08-31,2003-12-31,cdd,131,129,0.8,189,jour,heures,1,1,1
186,2013-03-06,,cdi,132,87,1.0,147,forfait,jours,1,1,0
187,2001-07-02,2002-07-02,cdd,133,247,0.8,349,jour,heures,0,1,1
188,2002-04-27,2003-06-27,cdi,134,20,1.0,49,astreinte,astreinte,0,0,1
189,2002-03-08,,cdi,135,286,1.0,402,jour,heures,1,1,1
190,2002-09-19,,cdi,136,33,0.8,71,jour,heures,0,0,1
191,2001-08-28,,cdi,137,48,1.0,98,forfait,jours,0,1,1
192,2000-11-14,2001-08-14,cdd,138,145,1.0,205,jour,heures,0,1,1
193,2020-10-04,,cdi,139,75,0.5,132,jour,heures,0,0,1
194,2009-12-21,2011-07-21,cdi,140,24,1.0,55,jour,heures,1,0,1
195,2011-08-01,,cdi,140,24,1.0,55,jour,heures,0,0,1
196,2001-02-03,2003-01-03,cdi,141,247,1.0,349,jour,heures,1,0,1
197,2001-12-15,2003-12-15,cdi,142,299,1.0,416,nuit,heures,0,1,0
198,2004-01-11,2005-01-11,cdi,142,299,0.9,416,nuit,heures,0,1,0
199,2018-10-12,,cdi,143,104,0.8,164,jour,heures,0,0,1
200,2000-05-25,2002-05-25,cdi,144,106,0.8,166,forfait,jours,0,1,1
201,2021-02-20,,cdi,145,49,0.5,99,nuit,heures,1,1,1
202,2000-08-20,2002-01-20,cdi,146,200,1.0,284,nuit,heures,0,0,0
203,2000-05-31,,cdi,147,47,0.8,97,forfait,jours,0,0,1
204,2000-05-13,2001-12-13,cdi,148,100,0.8,160,jour,heures,1,0,1
205,2007-10-27,2009-09-27,cdi,149,204,1.0,293,forfait,jours,1,0,1
206,2016-07-09,2018-06-09,cdi,150,289,0.8,405,forfait,jours,1,1,0
207,2017-01-25,2017-12-25,cdi,151,47,1.0,97,forfait,jours,0,1,1
208,2018-01-07,2018-08-07,cdi,151,47,1.0,97,forfait,jours,0,0,1
209,2000-12-17,2002-03-17,cdi,152,131,1.0,191,jour,heures,0,1,1
210,2002-05-15,2025-12-01,cdd,152,157,0.8,221,astreinte,astreinte,0,0,1
211,2002-10-06,2004-06-06,cdi,153,247,0.8,349,jour,heures,1,0,1
212,2004-07-08,2005-10-08,cdi,153,136,0.8,196,nuit,heures,0,0,1
213,2002-12-16,2004-10-16,cdi,154,143,0.8,203,jour,heures,0,1,1
214,2004-12-12,2006-04-12,cdd,154,143,0.8,203,jour,heures,0,1,1
215,2016-06-12,2018-05-12,cdi,155,202,1.0,289,bloc,heures,0,0,0
216,2018-06-29,,cdi,155,202,1.0,287,jour,heures,0,0,0
217,2002-10-25,2003-12-25,cdi,156,51,0.8,101,nuit,heures,0,0,1
218,2006-04-21,,cdi,157,192,1.0,271,astreinte,astreinte,0,0,1
219,2001-06-13,2002-09-13,cdi,158,261,0.8,365,nuit,heures,1,0,1
220,2003-08-14,2004-04-14,cdd,159,51,1.0,101,nuit,heures,1,0,1
221,2001-05-20,2002-03-20,cdi,160,299,1.0,416,nuit,heures,0,0,1
222,2002-05-16,2003-04-16,cdi,160,43,1.0,87,nuit,heures,0,0,1
223,2003-05-24,2004-03-24,cdi,160,49,1.0,99,nuit,heures,0,1,1
224,2004-05-19,2005-07-19,cdd,160,221,1.0,318,nuit,heures,0,0,1
225,2005-09-08,2006-09-08,cdd,160,49,1.0,99,nuit,heures,1,1,1
226,2002-11-12,2004-01-12,cdi,161,201,1.0,286,forfait,jours,0,1,0
227,2004-01-28,2005-04-28,cdi,161,201,1.0,286,forfait,jours,0,1,0
228,2005-05-21,2006-04-21,cdd,161,201,0.9,286,forfait,jours,0,1,0
229,2005-07-20,2006-04-20,cdi,162,49,1.0,99,nuit,heures,1,1,1
230,2006-04-21,2026-02-01,cdd,162,49,1.0,99,nuit,heures,1,0,1
231,2010-12-06,2012-03-06,cdi,163,262,1.0,366,nuit,heures,0,0,0
232,2012-12-28,2014-06-28,cdd,164,267,1.0,375,jour,heures,1,1,1
233,2014-07-16,2016-07-16,cdi,164,29,1.0,63,jour,heures,1,1,1
234,2016-07-20,2017-05-20,cdi,164,239,1.0,339,forfait,jours,0,0,1
235,2001-11-10,2003-08-10,cdi,165,98,1.0,158,jour,heures,0,1,0
236,2003-09-09,2005-03-09,cdi,165,221,1.0,317,jour,heures,1,0,1
237,2005-05-06,2007-05-06,cdi,165,238,1.0,337,nuit,heures,0,1,1
238,2007-05-30,2009-01-30,cdi,165,205,0.5,294,jour,heures,0,0,1
239,2001-07-29,,cdi,166,108,1.0,168,jour,heures,0,0,1
240,2000-05-22,2001-09-22,cdi,167,71,1.0,125,jour,heures,1,0,0
241,2001-10-20,2003-04-20,cdi,168,200,0.8,285,bloc,heures,0,0,0
242,2003-06-14,2005-01-14,cdi,168,200,1.0,283,jour,heures,0,0,0
243,2000-06-08,,cdi,169,191,1.0,266,jour,heures,0,0,1
244,2002-07-06,2003-05-06,cdd,170,26,1.0,57,jour,heures,0,0,1
245,2003-05-27,2004-02-27,cdi,170,247,0.8,349,jour,heures,0,1,1
246,2000-07-27,2002-04-27,cdi,171,42,0.8,86,forfait,jours,1,1,1
247,2002-04-27,,cdi,171,132,1.0,192,jour,heures,0,0,1
248,2008-02-10,,cdi,172,267,1.0,375,jour,heures,0,0,1
249,2006-11-12,2008-08-12,cdi,173,201,1.0,286,forfait,jours,0,0,0
250,2008-09-18,2009-06-18,cdi,173,201,1.0,286,forfait,jours,1,1,0
251,2009-07-27,2011-01-27,cdi,173,44,1.0,89,nuit,heures,0,0,1
252,2011-03-17,2012-12-17,cdi,173,44,0.8,89,nuit,heures,0,0,0
253,2013-02-08,,cdi,173,44,1.0,89,nuit,heures,0,1,1
254,2016-12-05,,cdi,174,266,0.5,374,forfait,jours,1,1,1
255,2000-03-20,2001-12-20,cdi,175,189,1.0,260,jour,heures,0,1,1
256,2001-12-22,2003-06-22,cdi,175,189,1.0,262,astreinte,astreinte,0,0,1
257,2001-01-14,,cdi,176,238,1.0,336,jour,heures,0,1,0
258,2013-12-22,2015-06-22,cdi,177,9,1.0,22,jour,heures,0,1,1
259,2002-06-22,2003-01-22,cdi,178,70,0.5,123,jour,heures,1,1,0
260,2000-01-16,2001-10-16,cdi,179,286,0.9,402,jour,heures,1,0,1
261,2001-11-27,,cdi,179,289,1.0,405,forfait,jours,0,0,0
262,2007-04-12,2008-01-12,cdi,180,221,1.0,317,jour,heures,0,1,1
263,2008-01-15,2009-02-15,cdi,180,221,0.8,318,nuit,heures,0,0,1
264,2009-02-15,,cdi,180,238,1.0,336,jour,heures,0,0,1
265,2017-03-14,,cdi,181,289,0.5,405,forfait,jours,0,0,0
266,2001-06-17,2002-10-17,cdd,182,261,1.0,365,nuit,heures,0,0,1
267,2006-04-18,2006-11-18,cdi,183,72,1.0,127,jour,heures,1,1,1
268,2006-12-25,2008-05-25,cdd,183,147,1.0,207,jour,heures,0,0,1
269,2016-04-27,2016-11-27,cdi,184,260,1.0,364,nuit,heures,1,0,1
270,2000-08-24,2001-06-24,cdi,185,261,1.0,365,nuit,heures,1,0,1
271,2000-03-21,2002-02-21,cdi,186,127,1.0,187,jour,heures,0,0,1
272,2008-05-19,2009-05-19,cdi,187,57,0.9,107,jour,heures,0,0,1
273,2001-12-19,2026-03-01,cdd,188,98,0.8,158,jour,heures,0,0,1
274,2002-11-14,2003-01-14,cdd,189,205,1.0,295,nuit,heures,0,0,1
275,2012-03-22,,cdi,190,263,0.5,368,jour,heures,1,1,0
276,2000-09-19,2002-02-19,cdi,191,217,1.0,310,jour,heures,0,1,1
277,2002-04-19,2003-06-19,cdd,191,100,0.8,160,jour,heures,0,0,1
278,2003-07-10,2005-07-10,cdi,191,100,0.6,160,jour,heures,0,0,1
279,2001-12-02,2002-08-02,cdi,192,205,0.5,294,jour,heures,0,1,1
280,2000-10-15,2001-06-15,cdi,193,205,0.8,294,jour,heures,0,0,1
281,2000-11-27,2002-09-27,cdi,194,285,1.0,400,jour,heures,0,1,1
282,2002-01-26,2002-10-26,cdi,195,4,0.8,7,jour,heures,1,1,0
283,2002-12-21,2004-04-21,cdd,195,4,0.5,7,jour,heures,0,0,1
284,2000-10-11,2001-10-11,cdi,196,203,1.0,291,nuit,heures,0,0,1
285,2000-03-03,,cdi,197,205,0.8,294,jour,heures,0,0,1
286,2000-11-26,2001-10-26,cdi,198,210,0.8,303,nuit,heures,0,1,1
287,2001-10-28,,cdi,199,49,0.8,99,nuit,heures,1,1,1
288,2000-11-17,2000-12-17,cdd,200,266,0.8,374,forfait,jours,0,1,1
289,2001-09-20,2003-06-20,cdi,201,6,1.0,15,astreinte,astreinte,1,0,1
290,2001-05-20,,cdi,202,25,1.0,56,jour,heures,0,1,0
291,2007-11-18,,cdi,203,136,0.8,196,nuit,heures,0,1,1
292,2002-05-17,2004-05-17,cdi,204,92,1.0,152,forfait,jours,0,1,1
293,2004-06-13,2005-01-13,cdd,204,92,0.8,152,forfait,jours,0,1,0
294,2000-11-21,2001-11-21,cdi,205,75,1.0,132,jour,heures,0,1,0
295,2000-08-18,2025-12-01,cdd,206,221,0.8,317,jour,heures,1,0,1
296,2000-07-26,2001-01-26,cdi,207,247,0.8,349,jour,heures,1,0,1
297,2003-05-29,,cdi,208,61,0.8,111,jour,heures,0,0,1
298,2002-06-09,2025-12-01,cdd,209,224,0.8,322,nuit,heures,0,1,1
299,2002-08-20,,cdi,210,262,1.0,366,nuit,heures,0,0,0
300,2002-11-15,2004-02-15,cdi,211,285,0.9,400,jour,heures,1,0,1
301,2004-04-10,2004-11-10,cdi,211,285,0.8,400,jour,heures,0,0,1
302,2005-01-01,2005-10-01,cdi,211,285,0.6,400,jour,heures,1,0,1
303,2005-10-08,2006-06-08,cdi,211,285,0.8,400,jour,heures,0,0,1
304,2006-06-19,2006-08-19,cdd,211,299,0.5,416,nuit,heures,0,0,1
305,2010-03-13,2012-02-13,cdi,212,43,0.8,87,nuit,heures,0,1,1
306,2012-03-29,2013-02-28,cdi,212,205,1.0,294,jour,heures,0,0,1
307,2013-04-20,,cdi,212,49,1.0,99,nuit,heures,0,1,1
308,2000-03-12,2002-02-12,cdi,213,221,0.8,318,nuit,heures,0,0,1
309,2002-12-21,2003-10-21,cdi,214,58,1.0,108,jour,heures,0,0,1
310,2000-09-24,2002-03-24,cdi,215,205,0.8,295,nuit,heures,0,1,1
311,2002-05-14,2003-03-14,cdi,215,224,0.8,322,nuit,heures,0,0,1
312,2001-10-12,2003-06-12,cdi,216,72,1.0,127,jour,heures,1,1,1
313,2000-04-08,2002-02-08,cdi,217,9,1.0,24,astreinte,astreinte,0,0,1
314,2002-04-08,2003-09-08,cdi,217,9,1.0,24,astreinte,astreinte,0,0,1
315,2020-08-24,,cdi,218,98,1.0,158,jour,heures,0,1,1
316,2001-08-12,2002-04-12,cdi,219,35,0.8,75,jour,heures,0,1,1
317,2002-04-18,2003-03-18,cdi,219,262,1.0,367,bloc,heures,0,1,0
318,2003-05-17,2004-07-17,cdi,219,262,1.0,367,bloc,heures,1,0,0
319,2000-07-02,2001-08-02,cdi,220,136,1.0,196,nuit,heures,0,1,1
320,2012-11-28,,cdi,221,136,0.5,196,nuit,heures,0,1,1
321,2002-12-08,2004-01-08,cdd,222,103,0.8,163,jour,heures,0,1,1
322,2004-01-22,2026-02-01,cdd,222,103,0.9,163,jour,heures,0,0,1
323,2017-10-25,2018-11-25,cdi,223,56,0.8,106,jour,heures,0,0,1
324,2019-01-18,,cdi,223,56,0.8,106,jour,heures,0,0,0
325,2001-04-02,2001-11-02,cdi,224,247,1.0,349,jour,heures,0,1,1
326,2004-02-19,2006-02-19,cdi,225,148,0.8,208,forfait,jours,0,0,1
327,2006-02-27,2006-12-27,cdi,225,148,0.5,208,forfait,jours,0,0,0
328,2002-01-07,2003-01-07,cdd,226,99,0.8,159,jour,heures,0,0,1
329,2002-09-27,2004-01-27,cdi,227,31,1.0,67,jour,heures,0,0,1
330,2004-03-27,,cdi,227,31,1.0,67,jour,heures,1,1,1
331,2000-11-02,,cdi,228,103,1.0,163,jour,heures,1,0,1
332,2001-02-24,,cdi,229,22,1.0,52,jour,heures,0,1,1
333,2002-10-10,2003-07-10,cdi,230,102,1.0,162,forfait,jours,0,0,1
334,2002-09-17,2003-12-17,cdd,231,205,1.0,295,nuit,heures,0,0,1
335,2005-05-25,,cdi,232,224,0.9,322,nuit,heures,0,0,1
